State of University,Name of University,State of Regional Center,District of Regional Center,Level,Total Enrolment Male,Total Enrolment Female,Total Enrolment
Andhra Pradesh,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Andhra Pradesh,Guntur,PG Diploma,150,102,252
Andhra Pradesh,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Andhra Pradesh,Guntur,Under Graduate,3584,3255,6839
Andhra Pradesh,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Andhra Pradesh,Guntur,Post Graduate,3389,3150,6539
Andhra Pradesh,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Andhra Pradesh,Guntur,Diploma,47,36,83
Andhra Pradesh,"Andhra University, Visakhapatnam (Id: U-0006)",Andhra Pradesh,Visakhapatnam,Post Graduate,17095,15735,32830
Andhra Pradesh,"Andhra University, Visakhapatnam (Id: U-0006)",Andhra Pradesh,Visakhapatnam,PG Diploma,174,69,243
Andhra Pradesh,"Andhra University, Visakhapatnam (Id: U-0006)",Andhra Pradesh,Visakhapatnam,Under Graduate,87897,69675,157572
Andhra Pradesh,"Dravidian University, Kuppam, Chittoor District (Id: U-0010)",Andhra Pradesh,Chittoor,Under Graduate,1311,1001,2312
Andhra Pradesh,"Dravidian University, Kuppam, Chittoor District (Id: U-0010)",Andhra Pradesh,Chittoor,Post Graduate,1435,446,1881
Andhra Pradesh,"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam (Id: U-0011)",Andhra Pradesh,Visakhapatnam,Diploma,79,34,113
Andhra Pradesh,"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam (Id: U-0011)",Andhra Pradesh,Visakhapatnam,PG Diploma,37,17,54
Andhra Pradesh,"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam (Id: U-0011)",Andhra Pradesh,Visakhapatnam,Post Graduate,1788,1001,2789
Andhra Pradesh,"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam (Id: U-0011)",Andhra Pradesh,Visakhapatnam,Under Graduate,8951,4081,13032
Andhra Pradesh,"Rastriya Sanskrit Vidyapeeth, Tirupathi (Id: U-0030)",Andhra Pradesh,Chittoor,Under Graduate,135,75,210
